STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Grocery Chain
200 LIQUORS,48663.0,17055.0,5000.0,B,204 E 47TH ST,60653.0,GRAND BOULEVARD,38.0,3.0,17031381500.0,170314000000000.0,1178461.634,1873949.384,41.80942389,-87.6209518,"(41.8094238941, -87.620951802)",0
CARNICERIA LA GLORIA,1471030.0,271545.0,6500.0,B,2551 W 51ST ST,60632.0,GAGE PARK,63.0,14.0,17031630500.0,170316000000000.0,1160008.902,1870722.707,41.80096928,-87.6887221,"(41.8009692763, -87.6887220987)",0
WHOLE FOODS MARKET,1678043.0,86298.0,11310.0,A,1101 S CANAL ST,60607.0,NEAR WEST SIDE,28.0,2.0,17031841900.0,170318000000000.0,1173339.136,1895578.037,41.86888971,-87.63909893,"(41.8688897111, -87.6390989281)",0
PETERSON FOOD MART,1272746.0,251347.0,2500.0,B,2534 W PETERSON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020802.0,170310000000000.0,1158181.49,1939808.892,41.99058521,-87.69353452,"(41.9905852147, -87.6935345218)",0
STANLEY'S,15042.0,6609.0,10001.0,A,1558 N ELSTON AVE,60622.0,WEST TOWN,24.0,32.0,17031842300.0,170318000000000.0,1166918.65,1910717.903,41.91057467,-87.66223523,"(41.9105746696, -87.6622352294)",0
FOOD 4 LESS,1884255.0,251246.0,58000.0,A,4821 W NORTH AVE,60639.0,AUSTIN,25.0,37.0,17031250800.0,170313000000000.0,1143859.692,1910159.121,41.90950515,-87.74695994,"(41.9095051477, -87.7469599363)",1
COMMERCIAL GROCERY,56894.0,23932.0,2500.0,B,3004 E 100TH ST,60617.0,SOUTH DEERING,51.0,10.0,17031510100.0,170315000000000.0,1197923.012,1839161.153,41.71349784,-87.55073311,"(41.7134978435, -87.5507331066)",0
JEWEL FOOD STORE,1953613.0,259.0,62603.0,A,11730 S MARSHFIELD AVE,60643.0,MORGAN PARK,75.0,34.0,17031750500.0,170318000000000.0,1167478.162,1826818.27,41.68033221,-87.66258468,"(41.6803322053, -87.6625846787)",0
"LA UNICA FOOD MART, INC.",491.0,90.0,5000.0,B,1515 W DEVON AVE,60660.0,EDGEWATER,77.0,40.0,17031030200.0,170310000000000.0,1164985.885,1942560.493,41.99799346,-87.66842789,"(41.9979934597, -87.6684278857)",0
MID TOWN FOODS,39968.0,15264.0,3520.0,B,3855 W DIVISION ST,60651.0,HUMBOLDT PARK,23.0,27.0,17031231200.0,170312000000000.0,1150230.934,1907681.305,41.90258387,-87.72361925,"(41.9025838739, -87.7236192485)",0
"7400 S HALSTED FOOD AND LIQUORS, INC.",980.0,186.0,10001.0,A,7400 S HALSTED ST,60621.0,ENGLEWOOD,68.0,17.0,17031681300.0,170317000000000.0,1172208.81,1855768.917,41.75967458,-87.64442024,"(41.7596745819, -87.6444202389)",0
THREE BROTHER,6321.0,62766.0,10001.0,A,900 N FRANCISCO AVE,60622.0,WEST TOWN,24.0,26.0,17031242700.0,170312000000000.0,1156842.05,1906097.7,41.89810682,-87.69937838,"(41.8981068159, -87.6993783779)",0
CUENCA'S BAKERY & GROCERIES,1619464.0,292181.0,4500.0,B,4229 W MONTROSE AVE,60641.0,IRVING PARK,16.0,38.0,17031160300.0,170312000000000.0,1147271.221,1928863.708,41.96076752,-87.73394693,"(41.9607675196, -87.7339469271)",0
JEWEL FOOD STORES #3262,1409.0,259.0,35000.0,A,4660 W IRVING PARK RD,60641.0,PORTAGE PARK,15.0,45.0,17031831700.0,170318000000000.0,1144267.993,1926214.3,41.95355444,-87.74505531,"(41.9535544384, -87.7450553112)",0
ROMAN BROS 1 INC,11900.0,5925.0,10001.0,A,6978 N CLARK ST,60626.0,ROGERS PARK,1.0,49.0,17031010702.0,170310000000000.0,1163418.927,1946507.167,42.00885647,-87.67408037,"(42.0088564722, -87.674080374)",0
TAI NAM CORPORATION,34508.0,88874.0,10001.0,A,4925 N BROADWAY,60640.0,UPTOWN,3.0,48.0,17031031200.0,170310000000000.0,1167456.934,1933184.891,41.97221356,-87.6596091,"(41.972213557, -87.6596091001)",0
LA JALISCIENCE,4749.0,23661.0,3000.0,B,3239 W 26TH ST,60623.0,SOUTH LAWNDALE,30.0,22.0,17031840800.0,170318000000000.0,1155046.943,1886508.425,41.84438799,-87.7064971,"(41.8443879922, -87.7064970959)",0
HOLLYWOOD TOWER MKT,1858.0,62539.0,3000.0,B,5701 N SHERIDAN RD,60660.0,EDGEWATER,77.0,48.0,17031030604.0,170310000000000.0,1168645.915,1938086.669,41.98563842,-87.65509432,"(41.985638421, -87.6550943233)",0
A & R FOOD MART,1954411.0,340750.0,3500.0,B,5952 W GRAND AVE,60639.0,BELMONT CRAGIN,19.0,37.0,17031191302.0,170312000000000.0,1136148.465,1914149.527,41.92059646,-87.77519268,"(41.9205964582, -87.7751926809)",0
S. S. FOOD & LIQUOR,1476109.0,272992.0,2703.0,B,2427 N CLARK ST,60614.0,LINCOLN PARK,7.0,43.0,17031070101.0,170311000000000.0,1172706.708,1916520.744,41.9263717,-87.64080008,"(41.9263716974, -87.6408000783)",0
S L PANTRY & GRILL,2013420.0,17935.0,2600.0,B,4759 N SHERIDAN RD,60640.0,UPTOWN,3.0,46.0,17031031501.0,170310000000000.0,1168808.076,1932041.457,41.96904667,-87.65467406,"(41.9690466747, -87.654674059)",0
ANDYS FRUIT RANCH,1275209.0,3868.0,15000.0,A,4733 N KEDZIE AVE,60625.0,ALBANY PARK,14.0,33.0,17031140800.0,170311000000000.0,1154227.464,1931413.945,41.96762916,-87.70830369,"(41.9676291597, -87.7083036873)",0
DOMINICK'S #1875,1273445.0,5033.0,39000.0,A,1 N HALSTED ST,60661.0,NEAR WEST SIDE,28.0,27.0,17031280100.0,170313000000000.0,1171090.968,1900270.454,41.88181563,-87.64721472,"(41.8818156316, -87.647214717)",1
SAVE-A-LOT # 866,1299911.0,216203.0,,A,3939 W OGDEN AVE,60623.0,NORTH LAWNDALE,29.0,22.0,17031843400.0,170318000000000.0,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.72385084)",0
W K R B FOOD & LIQUOR,25165.0,10242.0,4340.0,B,9361 S COTTAGE GROVE AVE,60619.0,CHATHAM,44.0,8.0,17031440800.0,170314000000000.0,1183247.927,1842808.583,41.72386029,-87.60436472,"(41.7238602893, -87.6043647208)",0
OSAMA FOOD MART,2031620.0,352625.0,2800.0,B,615 E 67TH ST,60637.0,WOODLAWN,42.0,20.0,17031421200.0,170314000000000.0,1181566.424,1860686.264,41.77295752,-87.6099734,"(41.7729575221, -87.6099733981)",0
EL  PASEO  BORICUA,1301216.0,254645.0,3000.0,B,2706 W DIVISION ST,60622.0,WEST TOWN,24.0,26.0,17031242600.0,170312000000000.0,1158083.137,1907909.83,41.9030542,-87.69477042,"(41.9030542001, -87.6947704208)",0
FOOD BASKET,1682475.0,291625.0,2500.0,B,7205 S HALSTED ST,60621.0,ENGLEWOOD,68.0,17.0,17031681300.0,170317000000000.0,1172254.564,1857047.146,41.7631812,-87.64421502,"(41.763181195, -87.644215021)",0
SHOP & SAVE MARKET,1991275.0,338404.0,63426.0,A,5829 S ARCHER AVE,60638.0,GARFIELD RIDGE,56.0,23.0,17031560700.0,170316000000000.0,1140672.648,1868781.976,41.79601962,-87.75968337,"(41.7960196245, -87.7596833672)",0
GENES SAUSAGE SHOP AT DELI MEYER,1922145.0,335302.0,6000.0,B,4746 N LINCOLN AVE,60625.0,LINCOLN SQUARE,4.0,47.0,17031040600.0,170310000000000.0,1159702.057,1931499.897,41.96775366,-87.68817172,"(41.9677536575, -87.6881717161)",0
ALDI INC. #96,1868821.0,5273.0,16117.0,A,821 W 115TH ST,60643.0,WEST PULLMAN,53.0,34.0,17031530300.0,170315000000000.0,1172808.524,1828547.02,41.68496064,-87.64302231,"(41.6849606404, -87.6430223096)",1
SUPER FURNITURE & FOOD MART,2060727.0,357170.0,4000.0,B,5257 S ASHLAND AVE,60609.0,NEW CITY,61.0,16.0,17031611900.0,170316000000000.0,1166612.169,1869626.454,41.79782259,-87.66453688,"(41.7978225881, -87.6645368783)",0
ALDI FOODS STORE #2,14004.0,5273.0,15600.0,A,4645 W DIVERSEY AVE,60639.0,HERMOSA,20.0,31.0,17031190900.0,170312000000000.0,1144687.324,1918165.88,41.93146094,-87.74371731,"(41.9314609382, -87.743717307)",1
LOS POTRILLOS,1650212.0,299177.0,7000.0,B,3624 W BELMONT AVE,60618.0,AVONDALE,21.0,35.0,17031831100.0,170318000000000.0,1151517.723,1921074.037,41.93930952,-87.71853994,"(41.939309516, -87.7185399405)",0
MAYFLOWER FOOD,1168793.0,17975.0,6000.0,B,2104 S ARCHER AVE,60616.0,ARMOUR SQUARE,34.0,25.0,17031841100.0,170318000000000.0,1175264.592,1890264.228,41.8542653,-87.63218951,"(41.8542653039, -87.6321895068)",0
Municipal Foods,1478386.0,273724.0,9980.0,B,2559 W DIVISION ST,60622.0,WEST TOWN,24.0,26.0,17031242500.0,170312000000000.0,1158868.182,1907844.637,41.90285923,-87.69188858,"(41.9028592342, -87.6918885843)",0
SUPERMERCADO TEPECOA GUERRERO,1493584.0,277252.0,3500.0,B,3629 W 63RD ST,60629.0,WEST LAWN,65.0,13.0,17031650302.0,170317000000000.0,1153106.483,1862551.204,41.77868472,-87.71425166,"(41.7786847162, -87.7142516633)",0
ALDI INC STORE #16,1226990.0,5273.0,20848.0,A,1246 E 87TH ST,60619.0,AVALON PARK,45.0,8.0,17031834300.0,170318000000000.0,1186130.222,1847590.652,41.73691535,-87.59365662,"(41.736915346, -87.5936566218)",1
ALDI FOODS STORE #26,13998.0,5273.0,15540.0,A,2600 N CLYBOURN AVE,60614.0,LINCOLN PARK,7.0,32.0,17031070700.0,170311000000000.0,1163612.486,1917295.732,41.928695,-87.67419508,"(41.9286950012, -87.6741950831)",1
KAPS FOODS,57817.0,18562.0,4100.0,B,3557 S CALIFORNIA AVE,60632.0,BRIGHTON PARK,58.0,12.0,17031580100.0,170316000000000.0,1158326.483,1880700.349,41.82838364,-87.69462017,"(41.8283836447, -87.69462017)",0
SANABEL GROCERY & BAKERY,2009055.0,349374.0,6200.0,B,4213 N KEDZIE AVE,60618.0,IRVING PARK,16.0,33.0,17031160601.0,170312000000000.0,1154336.816,1927899.606,41.9579834,-87.70799592,"(41.9579834025, -87.7079959151)",0
ALLA'S FOOD,1068956.0,204849.0,3500.0,B,2024 E 93RD ST,60617.0,CALUMET HEIGHTS,48.0,8.0,17031480400.0,170315000000000.0,1191449.683,1843746.804,41.72624035,-87.57429226,"(41.7262403487, -87.5742922611)",0
AL BAYAN GROCERY INC.,1542202.0,282078.0,2500.0,B,3134 N NARRAGANSETT AVE,60634.0,BELMONT CRAGIN,19.0,36.0,17031831500.0,170318000000000.0,1133152.97,1920313.703,41.93756465,-87.78605437,"(41.9375646502, -87.7860543686)",0
GENE'S SAUSAGE SHOP & DELI INC,1876.0,371.0,5000.0,B,5330 W BELMONT AVE,60641.0,PORTAGE PARK,15.0,38.0,17031151100.0,170312000000000.0,1140128.164,1920795.598,41.93876197,-87.76040707,"(41.9387619658, -87.7604070714)",0
RIGO'S GROCERY,1144306.0,215370.0,2500.0,B,2858 S LAWNDALE AVE,60623.0,SOUTH LAWNDALE,30.0,22.0,17031301702.0,170313000000000.0,1152136.584,1884500.849,41.83893675,-87.71723055,"(41.8389367453, -87.7172305546)",0
WALMART,,,,A,10900 S DOTY AVE W,60628.0,PULLMAN,50.0,9.0,17031500200.0,170315000000000.0,1185444.674,1832788.876,41.69631368,-87.59663224,"(41.69631368, -87.59663224)",0
CHICAGO PRODUCE,1865.0,368.0,13500.0,A,3500 W LAWRENCE AVE,60625.0,ALBANY PARK,14.0,39.0,17031140200.0,170311000000000.0,1152167.179,1931711.03,41.96848537,-87.71587133,"(41.9684853733, -87.7158713295)",0
DIA FOOD & LIQUOR,41854.0,16133.0,4500.0,B,1478 W 115TH ST,60643.0,MORGAN PARK,75.0,34.0,17031750600.0,170318000000000.0,1168245.945,1828509.138,41.6849558,-87.65972583,"(41.6849557984, -87.659725829)",0
"PARK FOODS OF 71ST STREET,INC.",1677517.0,300221.0,3500.0,B,2612 W 71ST ST,60629.0,CHICAGO LAWN,66.0,18.0,17031660900.0,170317000000000.0,1160100.053,1857512.637,41.76471714,-87.68875098,"(41.7647171389, -87.6887509815)",0
PETE'S PRODUCE,1476553.0,273114.0,5000.0,B,1543 E 87TH ST,60619.0,CALUMET HEIGHTS,48.0,8.0,17031480200.0,170315000000000.0,1188145.963,1847564.374,41.73679546,-87.58627251,"(41.7367954576, -87.5862725091)",0
HAREER FOOD & LIQUOR,52337.0,17625.0,2500.0,B,5452 S HALSTED ST,60609.0,NEW CITY,61.0,20.0,17031612100.0,170316000000000.0,1171863.415,1868478.629,41.7945591,-87.64531343,"(41.7945591033, -87.6453134277)",0
TRADER JOE'S EAST,1592120.0,211718.0,10615.0,A,44 E ONTARIO ST,60611.0,NEAR NORTH SIDE,8.0,42.0,17031081500.0,170311000000000.0,1176714.099,1904540.637,41.89340802,-87.62643774,"(41.8934080204, -87.6264377426)",1
EMILIO'S PRODUCE,1675623.0,298914.0,2500.0,B,2294 N MILWAUKEE AVE,60647.0,LOGAN SQUARE,22.0,1.0,17031221400.0,170312000000000.0,1157396.781,1915026.703,41.92259747,-87.69709763,"(41.9225974657, -87.6970976291)",0
"GRAND PALACE SUPERMARKET, INC",49648.0,17200.0,3000.0,B,7131 S STATE ST,60619.0,GREATER GRAND CROSSING,69.0,6.0,17031691000.0,170317000000000.0,1177563.58,1857597.706,41.76457363,-87.62473997,"(41.7645736329, -87.6247399651)",0
ALDI #70,1997726.0,5273.0,18263.0,A,7627 S ASHLAND AVE,60620.0,AUBURN GRESHAM,71.0,17.0,17031710300.0,170317000000000.0,1167042.618,1854021.323,41.75499092,-87.66340416,"(41.7549909175, -87.6634041558)",1
SUPER MERCADO LA CHIQUITA,6054.0,3546.0,9500.0,B,3555 W 26TH ST,60623.0,SOUTH LAWNDALE,30.0,22.0,17031301600.0,170313000000000.0,1152851.981,1886452.834,41.84427912,-87.71455377,"(41.8442791237, -87.7145537663)",0
ALDI'S # 26,1821323.0,5273.0,16550.0,A,10532 S INDIANAPOLIS AVE,60617.0,EAST SIDE,52.0,10.0,17031520100.0,170315000000000.0,1204788.063,1835640.292,41.70366236,-87.52571243,"(41.7036623609, -87.5257124268)",1
CARNICERIA RICARDO,35191.0,15006.0,5000.0,B,4419 W DIVERSEY AVE,60639.0,HERMOSA,20.0,31.0,17031200200.0,170312000000000.0,1146359.156,1918206.521,41.93154075,-87.73757251,"(41.9315407469, -87.7375725127)",0
LINDO MICHOACAN,42744.0,86194.0,8600.0,B,3142 W LAWRENCE AVE,60625.0,ALBANY PARK,14.0,33.0,17031140100.0,170311000000000.0,1154365.277,1931758.826,41.96857277,-87.7077877,"(41.9685727721, -87.7077877013)",0
"SUPER FOOD & LIQUORS, INC.",40429.0,15748.0,4000.0,B,1049 W BRYN MAWR AVE,60660.0,EDGEWATER,77.0,48.0,17031030701.0,170310000000000.0,1168094.003,1937326.296,41.98356392,-87.65714629,"(41.983563915, -87.657146291)",0
NAYAB MART,1444872.0,269649.0,3125.0,B,2449 W DEVON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020802.0,170310000000000.0,1158623.872,1942364.61,41.99758912,-87.69183691,"(41.9975891244, -87.6918369148)",0
EDGEWATER PRODUCE,16765.0,6928.0,7400.0,B,5509 N CLARK ST,60640.0,EDGEWATER,77.0,48.0,17031030800.0,170310000000000.0,1165060.268,1936722.179,41.98197138,-87.66832103,"(41.981971377, -87.6683210323)",0
JEWEL FOOD STORE #3224,1144401.0,259.0,29299.0,A,6430 W IRVING PARK RD,60634.0,DUNNING,17.0,38.0,17031170100.0,170312000000000.0,1132667.451,1925939.24,41.95301023,-87.78770716,"(41.9530102332, -87.7877071626)",0
LOS SAUCES GROCERY,1223250.0,230035.0,2800.0,B,5852 W DIVERSEY AVE,60639.0,BELMONT CRAGIN,19.0,30.0,17031190402.0,170312000000000.0,1136654.046,1918049.07,41.9312882,-87.77324145,"(41.9312882001, -87.7732414533)",0
THE WAREHOUSE,1843355.0,315225.0,6000.0,B,538 W 119TH ST,60628.0,WEST PULLMAN,53.0,34.0,17031530200.0,170315000000000.0,1174692.38,1826020.558,41.677986,-87.63620086,"(41.6779860017, -87.6362008551)",0
ARISTA FOODS,1473367.0,271891.0,10000.0,A,112 N MAY ST,60607.0,NEAR WEST SIDE,28.0,27.0,17031833000.0,170318000000000.0,1168768.827,1900830.156,41.88340212,-87.65572529,"(41.8834021216, -87.6557252931)",0
MORSE FOOD AND MEAT MARKET,1518304.0,280735.0,17000.0,A,1430 W MORSE AVE,60626.0,ROGERS PARK,1.0,49.0,17031010600.0,170310000000000.0,1165298.323,1946207.741,42.00799492,-87.66717415,"(42.0079949199, -87.6671741467)",0
"CALABRIA IMPORTS, INC.",1357606.0,264103.0,3100.0,B,1905 W 103RD ST,60643.0,BEVERLY,72.0,19.0,17031720700.0,170317000000000.0,1165555.282,1836329.433,41.70647332,-87.66935499,"(41.7064733245, -87.6693549885)",0
KOL TUV KOSHER FOODS INC,12952.0,6158.0,3000.0,B,2938 W DEVON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020601.0,170310000000000.0,1155422.897,1942345.28,41.99760128,-87.70361267,"(41.9976012808, -87.7036126719)",0
ALDI INC # 62,13984.0,5273.0,12646.0,A,6220 N CALIFORNIA AVE,60659.0,WEST RIDGE,2.0,50.0,17031020702.0,170310000000000.0,1156498.066,1941267.105,41.99462096,-87.69968686,"(41.9946209588, -87.6996868624)",1
JEWEL FOOD  STORE # 3345,1142451.0,259.0,60271.0,A,1224 S WABASH AVE,60605.0,NEAR SOUTH SIDE,33.0,2.0,17031330100.0,170313000000000.0,1176924.005,1894818.198,41.86672435,-87.62596115,"(41.8667243541, -87.6259611484)",0
WASHINGTON GROCERY,6249.0,23967.0,4200.0,B,4139 W FIFTH AVE,60624.0,WEST GARFIELD PARK,26.0,24.0,17031261000.0,170313000000000.0,1148829.351,1896476.401,41.87186361,-87.72905737,"(41.8718636117, -87.7290573726)",0
WALGREENS #232,18449.0,147.0,,A,3405 S DR MARTIN LUTHER KING JR DR,60616.0,DOUGLAS,35.0,4.0,17031351000.0,170314000000000.0,1179511.815,1882412.902,41.8326245,-87.6168411,"(41.8326245, -87.6168411)",0
FAIRWAY FOOD,2031993.0,352796.0,3000.0,B,2900 E 79TH ST,60649.0,SOUTH SHORE,43.0,7.0,17031431301.0,170314000000000.0,1196899.785,1853184.817,41.75200539,-87.55401542,"(41.7520053919, -87.5540154169)",0
FRESH MARKET PLACE,1382145.0,266140.0,20000.0,A,2600 N CENTRAL AVE,60639.0,BELMONT CRAGIN,19.0,30.0,17031190602.0,170312000000000.0,1138560.743,1916734.936,41.92764768,-87.76626652,"(41.9276476796, -87.7662665211)",0
THE FISH KEG INC,4908.0,3299.0,4000.0,B,2233 W HOWARD ST,60645.0,WEST RIDGE,2.0,49.0,17031020100.0,170310000000000.0,1160144.837,1950322.625,42.01939474,-87.6860205,"(42.0193947424, -87.6860204976)",0
NANCE FOOD MART,4756.0,3277.0,4500.0,B,10935 S WENTWORTH AVE,60628.0,ROSELAND,49.0,34.0,17031491000.0,170315000000000.0,1176930.576,1832294.683,41.69515316,-87.62782024,"(41.6951531575, -87.6278202407)",0
RIVIERA FOODS,39650.0,89265.0,3500.0,B,3218 N HARLEM AVE,60634.0,DUNNING,17.0,36.0,17031170800.0,170312000000000.0,1127474.975,1920652.267,41.93859128,-87.8069148,"(41.9385912816, -87.8069148007)",0
J K & S FOOD & LIQUOR,1000978.0,32337.0,3024.0,B,503 W 59TH ST,60621.0,ENGLEWOOD,68.0,20.0,17031834600.0,170318000000000.0,1173930.931,1865754.838,41.78703907,-87.63781273,"(41.7870390747, -87.6378127282)",0
K & K FOOD & LIQUOR,62092.0,23937.0,4200.0,B,1130 W 51ST ST,60609.0,NEW CITY,61.0,16.0,17031611000.0,170316000000000.0,1169532.16,1871017.468,41.80157684,-87.65378847,"(41.8015768439, -87.6537884728)",0
WILLIAM'S PRODUCE,2079521.0,359604.0,6375.0,B,6309 W GRAND AVE,60639.0,BELMONT CRAGIN,19.0,29.0,17031191301.0,170312000000000.0,1133912.47,1914608.009,41.92189423,-87.78339752,"(41.9218942299, -87.78339752)",0
CHATHAM FOOD MARKET,1904290.0,331037.0,4500.0,B,327 E 79TH ST,60619.0,CHATHAM,44.0,6.0,17031440300.0,170314000000000.0,1179727.919,1852659.216,41.75097268,-87.61695788,"(41.7509726753, -87.6169578802)",0
JEWEL FOOD STORE #3442,1406.0,259.0,29060.0,A,4042 W FOSTER AVE,60630.0,NORTH PARK,13.0,39.0,17031130200.0,170311000000000.0,1148348.854,1934285.341,41.97562411,-87.72984456,"(41.9756241124, -87.7298445616)",0
CUPBOARD FOOD & LIQUOR,7110.0,3758.0,3000.0,B,3260 W 55TH ST,60632.0,GAGE PARK,63.0,14.0,17031630300.0,170316000000000.0,1155332.319,1867998.701,41.79358918,-87.70594578,"(41.7935891795, -87.7059457835)",0
PAULINA MARKET,1680919.0,301699.0,10000.0,A,3501 N LINCOLN AVE,60657.0,LAKE VIEW,6.0,32.0,17031831900.0,,1164057.216,1923333.711,41.94525416,-87.67238979,"(41.9452541584, -87.6723897932)",0
CARNICERIA GUANJUATO #3,17340.0,63206.0,8800.0,B,1436 N ASHLAND AVE,60622.0,WEST TOWN,24.0,1.0,17031241500.0,170312000000000.0,1165420.746,1909810.008,41.90811537,-87.66776383,"(41.9081153739, -87.6677638335)",0
PETE'S FRESH MARKET,1598145.0,292834.0,50000.0,A,3448 E 118TH ST,60617.0,HEGEWISCH,55.0,10.0,17031550100.0,170316000000000.0,1201135.133,1827369.419,41.68105956,-87.53936754,"(41.6810595555, -87.5393675414)",0
WHOLE FOODS MARKET,1678035.0,86298.0,6335.0,B,6020 N CICERO AVE,60646.0,FOREST GLEN,12.0,39.0,17031120200.0,170311000000000.0,1143245.244,1939669.138,41.99049477,-87.74847741,"(41.9904947718, -87.7484774142)",0
E.M. GROCERIES,4863.0,3289.0,4500.0,B,5358 S CARPENTER ST,60609.0,NEW CITY,61.0,16.0,17031612000.0,170316000000000.0,1170189.627,1869037.379,41.79612897,-87.6514349,"(41.7961289732, -87.6514349028)",0
SAVE-A-LOT #860,1196076.0,216203.0,12500.0,A,4439 W 63RD ST,60629.0,WEST LAWN,65.0,13.0,17031650301.0,170317000000000.0,1147705.019,1862415.008,41.77841597,-87.73405757,"(41.7784159744, -87.7340575715)",0
"LATIN GROCERY & LIQUOR, INC",20046.0,8064.0,10001.0,A,3800 W NORTH AVE,60647.0,HUMBOLDT PARK,23.0,30.0,17031230400.0,170312000000000.0,1150799.86,1910405.94,41.91004942,-87.72145808,"(41.9100494194, -87.7214580839)",0
ATHENS GROCERY,971.0,185.0,2600.0,B,324 S HALSTED ST,60661.0,NEAR WEST SIDE,28.0,27.0,17031833100.0,170318000000000.0,1171063.79,1898574.396,41.87716213,-87.64736429,"(41.8771621281, -87.6473642897)",0
JEWEL FOOD STORE #3092,1411.0,259.0,10001.0,A,1655 E 95TH ST,60617.0,SOUTH DEERING,51.0,7.0,17031510300.0,170315000000000.0,1189107.784,1842276.927,41.7222632,-87.58291763,"(41.7222631981, -87.5829176346)",0
M & J LIQUOR & GROCERY,15168.0,6639.0,2900.0,B,3654 W LAWRENCE AVE,60625.0,ALBANY PARK,14.0,39.0,17031140301.0,170311000000000.0,1150913.715,1931683.52,41.96843458,-87.72048101,"(41.9684345799, -87.7204810114)",0
THRIFTY FOOD,1045545.0,28478.0,4000.0,B,928 W WILSON AVE,60640.0,UPTOWN,3.0,46.0,17031031501.0,170310000000000.0,1169121.324,1930772.462,41.9655577,-87.65355928,"(41.9655577007, -87.653559279)",0
DOMINICK'S # 1100,41629.0,5033.0,10001.0,A,3145 S ASHLAND AVE,60608.0,MCKINLEY PARK,59.0,11.0,17031840400.0,170318000000000.0,1166221.872,1883706.591,41.83646835,-87.6655669,"(41.8364683477, -87.6655669021)",1
SAVE-A-LOT # 854,1245433.0,216203.0,15000.0,A,7908 S HALSTED ST,60620.0,AUBURN GRESHAM,71.0,17.0,17031710800.0,170317000000000.0,1172300.997,1852361.578,41.75032239,-87.64418241,"(41.7503223874, -87.6441824061)",0
"CARNICERIA LA GLORIA NO. 2, INC.",1514813.0,279304.0,7500.0,B,2744 W 55TH ST,60632.0,GAGE PARK,63.0,14.0,17031630500.0,170316000000000.0,1158820.849,1868105.555,41.79381183,-87.6931506,"(41.7938118263, -87.6931506024)",0
